reponse.csv,,
ID,Phrase,Audio
61,Grande maladie ne fait pas toujours mourir.,0061.wav
62,"Si tu aimes les enfants des autres, tu aimeras encore mieux les tiens.",0062.wav
63,"L’humain est un pont, non une fin.",0063.wav
64,L'ego est une fiction.,0064.wav
65,L’humain (ainsi que tous les êtres finis en général) ne devient humain que parmi ses congénères.,0065.wav
66,"Si personne ne me demande ce qu’est le temps, je le sais?; mais si on me le demande et que je veuille l’expliquer, je ne le sais plus.",0066.wav
67,On doit aborder sans dégoût l’examen de chaque animal avec la conviction que chacun réalise sa part de nature et de beauté.,0067.wav
68,À l’être humain rien de plus utile que l’être humain.,0068.wav
69,Ce n’est pas seulement en vue de vivre mais plutôt en vue d’une vie heureuse qu’on s’assemble en une cité.,0069.wav
70,Le bonheur est un idéal de l’imagination et non de la raison.,0070.wav
71,L'idée que les êtres humains sont assez intelligents pour régir la planète témoigne d'un orgueil démesuré.,0071.wav
72,"On dit souvent que l'être humain est le plus intelligent des êtres vivants de notre planète. S'il est aussi intelligent, comme on le prétend, pourquoi alors cette prédilection à vouloir tout détruire, que ce soit son environnement naturel jusqu'à même sa propre espèce ?",0072.wav
73,Le malheur des uns fait le bonheur des autres.,0073.wav
74,Le bonheur est né de l'altruisme et le malheur de l'égoïsme.,0074.wav
75,"La vie de famille requiert une force, une persévérance, un oubli de soi dont le bonheur de ses membres est le fruit.",0075.wav
76,Le bonheur n'est pas une destination mais une façon de voyager.,0076.wav
77,Le devoir a une grande ressemblance avec le bonheur d'autrui.,0077.wav
78,Recette pour aller mieux. Répéter souvent ces trois phrases : le bonheur n'existe pas. L'amour est impossible. Rien n'est grave.,0078.wav
79,"Si le bonheur t'oublie un peu, ne l'oublie jamais tout­ à fait.",0079.wav
80,L'orgueil fait partie de cette tendresse infinie que l'on doit avoir pour soi-même et sans laquelle tout bonheur me paraît improbable.,0080.wav
81,Il est des gens qui n'embrassent que des ombres ; ceux-là n'ont que l'ombre du bonheur.,0081.wav
82,"L'amour, c'est quasiment injuste. Tu peux aimer qui te rendra malheureux et passer à côté de quelqu'un qui ferait ton bonheur. L'amour ce n'est pas une chose qu'on voit.",0082.wav
83,"Nous envions le bonheur des autres, les autres envient le nôtre.",0083.wav
84,Le bonheur se vit à deux. C'est pourquoi on le déclare immoral.,0084.wav
85,L'égoïste est triste parce qu'il attend le bonheur.,0085.wav
86,L'univers est une énorme injustice. Le bonheur a toujours été une injustice.,0086.wav
87,"L’humain n'a pas d'ami, c'est son bonheur qui en a.",0087.wav
88,"Le bonheur, ce n'est pas une note séparée, c'est la joie que deux notes ont à rebondir l'une contre l'autre.",0088.wav
89,"La vraie beauté, c'est ce que l'on dégage. Si l'on dégage du soleil, du bonheur, si on s'aime un peu soi-même, le regard que les autres posent sur vous sera infiniment plus indulgent.",0089.wav
90,"Le grand malentendu, c'est le bonheur ! L’être humain s'est toujours appliqué à en faire abstraction.",0090.wav
91,Ovide a tort. C'est dans le malheur que tu compteras de nombreux amis. Être le confident du bonheur exige des vertus plus rares.,0091.wav
92,L’être humain serait probablement un animal assez supportable s'il consentait un peu moins à se laisser emmerder par ceux qui veulent faire son bonheur.,0092.wav
93,La gloire n'est qu'une fausse monnaie contre laquelle nous sacrifions aux autres notre propre bonheur.,0093.wav
94,Celui qui possède le bonheur le croit chez le voisin et le voisin se meurt de ne pas l'avoir connu !,0094.wav
95,"Le plus grand bonheur après que d'aimer, c'est de confesser son amour.",0095.wav
96,Le seul bonheur qu'on a vient du bonheur qu'on donne.,0096.wav
97,"Se faire aimer, c'est ramasser des trésors de bonheur pour l'hiver.",0097.wav
98,La recherche patiente et sans fadeur d'un bonheur partagé entre tous reste une idée neuve à la télévision comme ailleurs.,0098.wav
99,"L'essentiel pour le bonheur de la vie, c'est ce que l'on a en soi-même.",0099.wav
100,"Qui n'a pas appris à assumer les peines de tous, celui-là ne partagera pas non plus le bonheur avec tous.",0100.wav
101,Nous ne sommes pas dans la vie pour être heureux mais nous devons tâcher de mériter le bonheur.,0101.wav
102,"Le bonheur, c'est d'aimer à l'infini.",0102.wav
103,"Garder en tout un juste milieu, voilà le bonheur.",0103.wav
104,"Ce qu'on appelle le bonheur, c'est sa propre capacité d'aimer la vie.",0104.wav
105,Le bonheur est certes un bien mais un bien qui s'accommode mal du pluriel.,0105.wav
106,"Notre souffrance, dans l'immédiat, est faite pour s'intégrer dans l'ordre du monde, où elle se transforme en équilibre, donc en bonheur.",0106.wav
107,Celui qui évite la peine ne peut trouver le bonheur.,0107.wav
108,Le malheur des bons fait le bonheur des méchants.,0108.wav
109,"Si une patte de lapin porte bonheur, qu'a-t-il bien pu arriver au lapin ?",0109.wav
110,"Sans apprentissage de la douleur, le bonheur n'est pas solide.",0110.wav
111,Il ne faut pas croire exagérément au bonheur.,0111.wav
112,"Dans un couple, peut-être que l'important n'est pas de vouloir rendre l'autre heureux, c'est de se rendre heureux et d'offrir ce bonheur à l'autre.",0112.wav
113,"Le bonheur est un hôte discret, dont on ne constate souvent l'existence que par son acte de décès.",0113.wav
114,"Pour être heureux, il faut penser au bonheur d'un autre.",0114.wav
115,La jalousie d'autrui a l’avantage parfois de nous faire découvrir notre propre bonheur.,0115.wav
116,Le bonheur et le malheur ne viennent que de nous-mêmes.,0116.wav
117,Le bonheur est une espèce d'écho qui répond à ce que nous donnons.,0117.wav
118,La paix et le bonheur de tout un chacun ne sont pas nécessairement compatibles.,0118.wav
119,"Les humains, et il ne faut pas s'en étonner, paraissent concevoir le bien et le bonheur d'après la vie qu'ils mènent.",0119.wav
120,Il y a d'autres richesses que le bonheur.,0120.wav
121,Le bonheur est un parfum que l'on ne peut répandre sur autrui sans en faire rejaillir quelques gouttes sur soi-même.,0121.wav
122,L’être humain ne se trouve-t-il pas toujours seul à souffrir ?,0122.wav
123,Pourquoi l'argent ne fait pas le bonheur ? Parce qu'il n'achète pas l'amour !,0123.wav
124,La première condition pour être heureux est de se croire indispensable au bonheur d'un autre ; cela fait accepter la vie.,0124.wav
125,"Le vrai bonheur est un état terne et sans valeur. Quand nous le goûtons sciemment, il passe et meurt : le jeu des saisons.",0125.wav
126,"L'amour fait songer, vivre et croire. Il a, pour réchauffer, le cœur, un rayon de plus que la gloire, et ce rayon, c'est le bonheur.",0126.wav
127,Le bonheur des uns ne fait pas le bonheur des autres.,0127.wav
128,La solitude est un enfer pour ceux qui tentent d'en sortir ; elle est aussi le bonheur pour les ermites qui se cachent.,0128.wav
129,L’humain souffre davantage du bonheur des autres que de son propre malheur.,0129.wav
130,"Il est difficile de trouver le bonheur en soi-même, on fait peu d'estime de celui qui peut venir d'ailleurs.",0130.wav
131,Chaque instant est bonheur à qui est capable de le voir comme tel.,0131.wav
132,"Ce qui est le plus important dans la vie, c'est de donner à quelqu'un un peu de bonheur.",0132.wav
133,"Le bonheur est chez vous, ne le cherchez pas dans le jardin des autres.",0133.wav
134,Le bonheur le plus doux est celui qu'on partage.,0134.wav
135,Le bonheur n'est peut-être que le résultat d'une comparaison.,0135.wav
136,Seul celui qui est heureux peut répandre le bonheur autour de lui.,0136.wav
137,"On a intérêt au bonheur des autres, on a intérêt à ce que les autres ne soient pas malades, on a intérêt au succès des autres parce que nous sommes une équipe.",0137.wav
138,Le bonheur entre et sort. C'est l'éclair qui vient de l'orient et disparaît à l'occident. Toute la terre le voit et tressaille ; mais il passe.,0138.wav
139,"Après le rare bonheur de trouver un compagnon ou une compagne qui nous soit bien assorti·e, l'état le moins malheureux de la vie est sans doute de vivre seul.",0139.wav
140,"Amitié, degré supérieur de l'amour, sanctuaire où l'on se retire pour méditer le bonheur de l'être aimé.",0140.wav
141,Le bonheur ne fleurit pas pour ceux qui suivent des chemins obliques.,0141.wav
142,J'ai appris que le bonheur c'est de savoir que le bonheur n'existe pas.,0142.wav
143,Tout est bonheur aux gens qui s'aiment.,0143.wav
144,"Il n'y a qu'un secret pour conserver le bonheur, c'est de le renier, c'est de le méconnaître ; il se plaît quelquefois à rester chez les ingrats.",0144.wav
145,Le plus court chemin du plaisir au bonheur passe par la tendresse.,0145.wav
146,C'est cela l'amour : donner du bonheur et des souffrances ; tout partager.,0146.wav
147,Le bonheur repose sur la confiance alors que l'amour exige du doute et de l'inquiétude.,0147.wav
148,"Il n'est pire misère, parce qu'on veut faire le bonheur d'un peuple, que de croire en lui.",0148.wav
149,Chacun porte son bonheur en soi.,0149.wav
150,On obtient le bonheur dans la mesure où on ne l'attend que de soi.,0150.wav
151,Le bonheur... C'est l'émerveillement de s'emboîter exactement avec quelqu'un.,0151.wav
152,Il ne sert à rien de fuir le bonheur sous prétexte qu'il peut finir un jour.,0152.wav
153,Le bonheur est dans la possession des êtres ou des choses que l'on aime. On doit vivre pour réaliser le bonheur de ces êtres.,0153.wav
154,Moins notre bonheur est dans la dépendance des autres et plus il nous est aisé d'être heureux.,0154.wav
155,"Le bonheur, c'est mieux de ne pas trop l'attendre des autres.",0155.wav
156,"L'ami vrai ce n'est pas celui qui regarde avec peine tes souffrances, c'est celui qui regarde sans envie ton bonheur !",0156.wav
157,"Le plus grand bonheur ? Avoir tous les vices du monde, sans les reproches ni les remords qui les accompagnent.",0157.wav
158,"La fraternité consiste à trouver du plaisir au bonheur de tout ce qui a vécu, vit ou vivra. Un altruisme universel qui s'adresse à l'autre et à tous les autres.",0158.wav
159,"Le bonheur tient aux événements, la félicité tient aux affections.",0159.wav
160,La personne la plus heureuse est celle qui fait le bonheur d'un plus grand nombre d'autres.,0160.wav
161,"Si l'on trouve du plaisir au bonheur d'autrui, c'est avant tout parce que l'autre est nécessaire à son propre bonheur.",0161.wav
162,Les amis sont ceux qui vous forcent au bonheur.,0162.wav
163,Le bonheur est à ceux qui se suffisent à eux-mêmes.,0163.wav
164,"Il y a toujours dans le bonheur, même des meilleures gens, un peu d'insolence aimable qui défie les autres d'en faire autant.",0164.wav
165,"De toutes les formes de prudence, la prudence en amour est peut-être celle qui est la plus fatale au vrai bonheur.",0165.wav
166,"L'amour, c'est une onde de bonheur en cours de matérialisation.",0166.wav
167,Aimer est exceptionnel. Ne pas aimer est la règle. Accepter cette règle devrait donner un début de bonheur.,0167.wav
168,"Le bonheur est une denrée merveilleuse : plus on en donne, plus on en a.",0168.wav
169,Soyons reconnaissants aux personnes qui nous donnent du bonheur ; elles sont les charmants jardiniers par qui nos âmes sont fleuries.,0169.wav
170,Tous les trésors de la terre ne valent pas le bonheur d'être aimé.,0170.wav
171,"On n'est jamais heureux que dans le bonheur qu'on donne. Donner, c'est recevoir.",0171.wav
172,"Être aimé ne donne pas le bonheur. Mais aimer, ça c'est le bonheur !",0172.wav
173,"C'est l'une des mythiques lois de la nature que les trois choses que nous recherchons le plus - le bonheur, la liberté et la paix de l'esprit - soient atteintes en les procurant à un autre.",0173.wav
174,Ne détestez rien car ce que vous détestez pourrait faire votre bonheur.,0174.wav
175,La nature fait les humains semblables. La vie les rend différents.,0175.wav
176,Le plus grand voyageur est celui qui a su faire une fois le tour de lui-même.,0176.wav
177,Le tout est plus grand que la somme des parties.,0177.wav
178,Il reste toujours un peu de parfum à la main qui donne des roses.,0178.wav
179,La bonté envers autrui est grande bonté envers soi-même.,0179.wav
180,"Aimer les autres et prendre soin d’eux, c’est agir avec humanité. Les comprendre, c’est agir avec vertu.",0180.wav
181,"Avoir assez d’empire sur soi-même pour juger des autres par comparaison avec nous et agir envers eux comme nous voudrions que l’on agisse envers nous-mêmes, c’est ce qu’on peut appeler la doctrine de l’humanité ; il n’y a rien au-delà.",0181.wav
182,Un être heureux est un être qui se contente de peu.,0182.wav
183,"L’humain naît tout prêt pour la douleur, avec un appareil héréditaire de transformation et de résistance, dont la pièce majeure est la joie.",0183.wav
184,"Le contentement apporte le bonheur, même dans la pauvreté. Le mécontentement apporte la pauvreté, même dans la richesse.",0184.wav
185,Le sage ne s’afflige pas de ne pas être connu de ses congénères ; il s’afflige de ne pas les connaître.,0185.wav
186,"Pas trop d’isolement, pas trop de relations ; le juste milieu, voilà la sagesse.",0186.wav
187,"Être humain, c’est aimer les humains. Être sage, c’est les connaître.",0187.wav
188,L’ouvrier qui veut bien faire son travail doit commencer par aiguiser ses instruments.,0188.wav
189,Y a-t-il un précepte qui puisse guider l’action de toute une vie ? Aimer.,0189.wav
190,"Prenez trois personnes au hasard dans les rues ; elles auront nécessairement quelque chose à m’enseigner. Les qualités de l’un me serviront de modèle, les défauts de l’autre d’avertissement.",0190.wav
191,"La vertu parfaite consiste à se rendre capable de pratiquer cinq choses : déférence, grandeur d’âme, honnêteté, diligence et générosité.",0191.wav
192,"Trois sortes d’amis sont utiles, trois sortes d’amis sont néfastes. Les utiles : un ami droit, un ami fidèle, un ami cultivé. Les néfastes : un ami faux, un ami mou, un ami bavard.",0192.wav
193,Ne recherchez pas l’amitié de ceux qui ne partagent pas vos exigences.,0193.wav
194,"Il ne faut pas confondre l’amour avec la passion, la première est dans le détachement et la seconde dans l’attachement. Et il ne faut pas confondre détachement et indifférence, la première cultive la différence, la seconde la détruit.",0194.wav
195,Les gens de bien ne demandent rien qu’à eux-mêmes ; les gens de peu demandent tout aux autres.,0195.wav
196,Exige beaucoup de toi-même et attends peu des autres. Ainsi beaucoup d’ennuis te seront épargnés.,0196.wav
197,"Se regarder scrupuleusement soi-même, ne regarder que discrètement les autres.",0197.wav
198,"Si tu empruntes le chemin de la vengeance, prépare deux cercueils.",0198.wav
199,Chacun doit être pour lui-même son dernier maître et son premier disciple.,0199.wav
200,Soyez sévères envers vous-mêmes et indulgents envers les autres.,0200.wav
201,"Être possédé par soi-même, c’est la pire obsession.",0201.wav
202,Ne vous affligez pas de n’être connu de personne mais travaillez à vous rendre digne d’être connu.,0202.wav
203,"Si tu rencontres une personne de valeur, cherche à lui ressembler. Si tu rencontres une personne médiocre, cherche ses défauts en toi-même.",0203.wav
204,Le parent qui n’enseigne pas ses devoirs à son enfant est autant coupable que ce dernier s’il les néglige.,0204.wav
205,Le plus sûr soutien est celui que l’on trouve chez ses proches.,0205.wav
206,"Élève-toi si tu veux vivre un amour plus grand, plus vaste.",0206.wav
207,Ne critique jamais quelqu’un avant d’avoir marché un mille dans ses mocassins.,0207.wav
208,Les différentes manières d’aimer sont les joyaux de la nature et de sa splendeur. Considère toutes les formes d’amour comme les couleurs d’un même arc-en-ciel.,0208.wav
209,Puisse l’arbre de notre vie être fermement enraciné dans le terreau de l’amour. Que les bonnes actions soient les feuilles de cet arbre. Puissent les paroles de bienveillance former ses fleurs et puisse la paix en être le fruit.,0209.wav
210,"La personne sage ne se détourne pas d’autrui. Il le considère comme faisant partie de lui-même. Sans lui, il devient comme l‘oiseau privé d‘ailes, comme le poisson rejeté par la rivière, qui meurt asphyxié sur la berge.",0210.wav
211,"Quand nous montrons notre respect aux autres êtres vivants, ils nous répondent avec respect.",0211.wav
212,"Toutes les plantes sont nos frères et sœurs. Elles nous parlent et si nous écoutons, nous pouvons les entendre.",0212.wav
213,Ne jugez pas votre voisin tant que vous n’avez pas marché deux lunes dans ses mocassins.,0213.wav
214,"Ma main n’a pas la même couleur que la tienne mais si je la perce, j’aurai mal. Le sang qui en coulera sera de la même couleur que le tien. Nous sommes tous deux de la même famille.",0214.wav
215,Le repas de l'un est poison pour l'autre.,0215.wav
216,Le sang est plus épais que l'eau.,0216.wav
217,Seul l'amour remplace le lait.,0217.wav
218,"Mordu une fois, timide deux fois.",0218.wav
219,L’histoire de l’humanité commence avant ses différences et ne doit pas s’arrêter à elles.,0219.wav
220,"Paradoxalement, le développement des réseaux sociaux a rendu la solitude aussi répandue qu’impossible.",0220.wav
221,La liberté fait parfois souffrir. Elle ne résout pas le problème de la solitude. ,0221.wav
222,Il faut un peuple pour faire un dictateur.,0222.wav
223,La richesse d’un compagnon ne se trouve pas dans son portefeuille.,0223.wav
224,"L’identité n’existe, ou du moins n’est perceptible, que dans la mesure où elle est un problème : l’identité fait partie de ces thèmes qui ne font sens que négativement, par le manque.",0224.wav
225,"Plus violent qu’une insulte, le regard qui se détourne peut manifester une volonté d’indifférence, le choix de ne pas reconnaître l’autre comme suffisamment digne d’être perçu.",0225.wav
226,"Choisis bien qui tu fréquentes, ton environnement a le pouvoir d’influencer la tournure de ta vie.",0226.wav
227,L’hérédité sert les cartes et l’environnement joue la main.,0227.wav
228,Les mouvements totalitaires sont des organisations massives d’individus atomisés et isolés.,0228.wav
229,"La principale caractéristique de l’homme de masse n’est pas la brutalité ou le retard mental, mais l’isolement et le manque de rapports sociaux normaux.",0229.wav
230,"Dans le travail, l’humain n’est uni ni au monde ni aux autres humains, seul avec son corps, face à la brutale nécessité de la vie.",0230.wav
231,Je ne crois pas à la valeur des existences séparées. Aucun de nous n'est complet en lui seul.,0231.wav
232,"L’utilité des amis est incontestable, en ce qu’ils nous font rentrer dans la réalité.",0232.wav
233,"Sait-on quelque chose des gens, même ceux avec lesquels on vit chaque jour ?",0233.wav
234,L’empathie est le talent le plus précieux de l’être humain.,0234.wav
235,"Il devrait exister des romans consacrés à la grippe et des épopées à la typhoïde, des odes à la pneumonie et des poèmes lyriques à la rage de dents.",0235.wav
236,"Les chefs-d'œuvre ne sont pas nés seuls et dans la solitude ils sont le résultat de nombreuses années de pensées en commun, de pensées élaborées par l'esprit d'un peuple entier, de sorte que l'expérience de la masse se trouve derrière la voix d'un seul.",0236.wav
237,Nous n'existons que sur les lèvres de nos amis.,0237.wav
238,"Quand on milite, quand on veut changer la société, quand on travaille fort, même quand on dénonce et qu’on se bat avec des mots durs, on le fait par amour des gens. Si on n’aimait pas les gens, la colère serait stérile. La colère sans amour est stérile.",0238.wav
239,Vous ne pouvez pas espérer construire un monde meilleur sans améliorer les individus.,0239.wav
240,Pensez à être moins curieux des personnes que de leurs idées.,0240.wav
241,"En sciences, nous devons être intéressés aux choses, pas aux personnes.",0241.wav
242,Chacun de nous doit travailler pour son propre perfectionnement et en même temps partager une responsabilité générale pour toute l'humanité.,0242.wav
243,Choisissez une personne qui vous regarde comme si vous étiez magique.,0243.wav
244,"Tombez amoureux de vous-même, de la vie et ensuite de qui vous voulez",0244.wav
245,Aucun endroit n’est plus triste qu’un lit vide.,0245.wav
246,Comment se fait-il que nous ne comprenions jamais complètement notre amour pour les gens qu’après leur disparition ?,0246.wav
247,"Si on ouvrait les gens, on trouverait des paysages. Moi, si on m’ouvrait, on trouverait des plages.",0247.wav
248,"L'enfer, c'est moi.",0248.wav
249,"Qu'on se l'avoue ou pas, on a tous un côté victime. Le mien est tellement présent que je l'ai baptisé Mina, qui vient de minable. Les malheurs de Mina.",0249.wav
250,J'aime l'amour libre. Par moment je suis tellement libre que je n'ai pas d'amour du tout.,0250.wav
251,"Le Bison représente le respect parce qu'aussi longtemps que nous existons, le Bison a su nous maintenir en vie en nous nourrissant, en nous habillant et en nous protégeant.",0251.wav
252,"Le Bison nous montre l'importance de vivre dans le respect de soi-même et des autres. En traitant nos collègues comme nous aimerions qu'ils nous traitent avec respect et dignité, nous prenons en considération leurs valeurs et leurs idées diverses pour enrichir les nôtres.",0252.wav
253,L'organisation nous pousse à garder le respect des uns envers les autres pour pouvoir y fonctionner en harmonie.,0253.wav
254,La réussite sociale est une guerre d’information.,0254.wav
255,L’addiction au bien-être ne va-t-elle pas engendrer une indifférence définitive ?,0255.wav
256,"Si le centre est stable, alors la famille est soudée.",0256.wav
257,Chacun naît seul et meurt seul quelles que soient la nature et l’intensité des relations qu’il tisse avec les autres.,0257.wav
258,L’humain devient humain lorsqu'il est capable de transmettre un sens d'humanité à son prochain.,0258.wav
259,"Ne poursuis pas ceux qui partent, ne rejette pas ceux qui arrivent.",0259.wav
260,Le froid comme la chaleur ne dure que jusqu’à l’équinoxe.,0260.wav
261,"Quand demain viendra la pluie, les gens deviendront des voleurs.",0261.wav
262,Il n’y a pas de combat possible sans adversaire.,0262.wav
263,L’arbre qui a grandi dans le vent a des racines solides.,0263.wav
264,La rencontre est le début de la séparation.,0264.wav
265,L’absent s’éloigne chaque jour.,0265.wav
266,"Les généraux triomphent, les soldats tombent.",0266.wav
267,Le sac des désirs n’a pas de fond.,0267.wav
268,Tu ignores qui est ton ami et qui est ton ennemi jusqu'à ce que la glace sous tes pieds se brise.,0268.wav
269,"Dans la forêt, quand les branches se querellent, les racines s'embrassent.",0269.wav
270,"On ne peut pas peindre du blanc sur du blanc, du noir sur du noir. Chacun a besoin de l'autre pour se révéler.",0270.wav
271,"Si quelqu'un t'a mordu, il t'a rappelé que tu avais des dents.",0271.wav
272,"L'argent est bien, mais l’humain est meilleur, parce qu'il répond quand on l'appelle.",0272.wav
273,"Si ton ami devient un âne, ne monte pas sur son dos.",0273.wav
274,"Avant de choisir ton chemin, choisis ton compagnon de route.",0274.wav
275,Qui mange seul s'étrangle seul.,0275.wav
276,Celui qui ne peut faire une prière chez lui fait la messe chez les autres.,0276.wav
277,Une seule main ne peut porter deux pastèques.,0277.wav
278,"Dans l'amitié, ménage une petite place pour la brouille, et dans la brouille une autre pour la réconciliation.",0278.wav
279,Ceux qui nous font aller au feu ne sont pas ceux qui nous y accompagnent.,0279.wav
280,"Dehors, l'empereur est ton maître. Rentre chez toi, ferme la porte. L'empereur maintenant, c'est toi.",0280.wav
281,Heureux celui qui corrige ses défauts sur les défauts des autres.,0281.wav
282,"Au champ de l'univers, tu cueilleras ce que tu sèmes.",0282.wav
283,Chercher le bonheur en dehors de nous c'est comme attendre le soleil dans une grotte orientée au Nord.,0283.wav
284,Il vaut mieux vivre seul au milieu d'un désert qu'avoir un mauvais voisin.,0284.wav
285,Le voyage c'est aller de soi à soi en passant par les autres.,0285.wav
286,"Le monde aura beau changer, les lions ne pondront pas.",0286.wav
287,La chèvre mange là où elle est attachée.,0287.wav
288,Un grain de maïs a toujours tort devant une poule.,0288.wav
289,Il appartient au griot de boire du lait. Mais non de demander à son hôte le nombre de ses vaches laitières.,0289.wav
290,Celui qui rame dans le sens du courant fait rire les crocodiles.,0290.wav
291,L'eau de la rivière coule sans attendre la personne qui a soif.,0291.wav
292,Un bébé au dos ne sait pas que la route est longue.,0292.wav
293,Partir de bonne heure se décide le soir.,0293.wav
294,"Avant de te rendre de bonne heure dans ton champ, que la chance t'y précède.",0294.wav
295,"Faisons le bien sans regret, sans compter notre peine.",0295.wav
296,"Pour juger des peines d'autrui, il faut être dans sa situation.",0296.wav
297,Qui ne supporte pas la fumée n'obtient pas de charbon.,0297.wav
298,"Si le baobab existe encore de nos jours, c'est qu'il n'a pas cherché à résister aux vents.",0298.wav
